points: customPlane
(-1.000000,-0.000000,-4.141593)
(-1.000000,-0.000000,-4.129281)
(-1.000000,-0.000000,-4.092649)
(-1.000000,-0.000000,-4.032599)
(-1.000000,-0.000000,-3.950610)
(-1.000000,-0.000000,-3.848699)
(-1.000000,-0.000000,-3.729378)
(-1.000000,-0.000000,-3.595583)
(-1.000000,-0.000000,-3.450610)
(-1.000000,-0.000000,-3.298027)
(-1.000000,-0.000000,-3.141593)
(-1.000000,-0.000000,-2.985158)
(-1.000000,-0.000000,-2.832576)
(-1.000000,-0.000000,-2.687602)
(-1.000000,-0.000000,-2.553807)
(-1.000000,-0.000000,-2.434486)
(-1.000000,-0.000000,-2.332576)
(-1.000000,-0.000000,-2.250586)
(-1.000000,-0.000000,-2.190536)
(-1.000000,-0.000000,-2.153904)
(-0.948661,-0.927051,-3.827433)
(-0.948661,-0.975392,-3.815122)
(-0.948661,-1.022542,-3.778490)
(-0.948661,-1.067342,-3.718440)
(-0.948661,-1.108687,-3.636450)
(-0.948661,-1.145559,-3.534540)
(-0.948661,-1.177051,-3.415219)
(-0.948661,-1.202387,-3.281424)
(-0.948661,-1.220944,-3.136450)
(-0.948661,-1.232263,-2.983868)
(-0.948661,-1.236068,-2.827433)
(-0.948661,-1.232263,-2.670999)
(-0.948661,-1.220944,-2.518416)
(-0.948661,-1.202387,-2.373443)
(-0.948661,-1.177051,-2.239648)
(-0.948661,-1.145559,-2.120327)
(-0.948661,-1.108687,-2.018416)
(-0.948661,-1.067342,-1.936427)
(-0.948661,-1.022542,-1.876377)
(-0.948661,-0.975392,-1.839745)
(-0.772542,-1.763356,-3.513274)
(-0.772542,-1.855306,-3.500962)
(-0.772542,-1.944991,-3.464331)
(-0.772542,-2.030205,-3.404281)
(-0.772542,-2.108847,-3.322291)
(-0.772542,-2.178983,-3.220381)
(-0.772542,-2.238884,-3.101059)
(-0.772542,-2.287076,-2.967265)
(-0.772542,-2.322373,-2.822291)
(-0.772542,-2.343904,-2.669709)
(-0.772542,-2.351141,-2.513274)
(-0.772542,-2.343904,-2.356840)
(-0.772542,-2.322373,-2.204257)
(-0.772542,-2.287076,-2.059284)
(-0.772542,-2.238884,-1.925489)
