points: customPlane
(3.000000,0.000000,-6.283185)
(3.048943,0.000000,-6.592202)
(3.190983,0.000000,-6.870971)
(3.412215,0.000000,-7.092202)
(3.690983,0.000000,-7.234242)
(4.000000,0.000000,-7.283185)
(4.309017,0.000000,-7.234242)
(4.587785,0.000000,-7.092202)
(4.809017,0.000000,-6.870971)
(4.951057,0.000000,-6.592202)
(5.000000,0.000000,-6.283185)
(4.951057,0.000000,-5.974168)
(4.809017,0.000000,-5.695400)
(4.587785,0.000000,-5.474168)
(4.309017,0.000000,-5.332129)
(4.000000,0.000000,-5.283185)
(3.690983,0.000000,-5.332129)
(3.412215,0.000000,-5.474168)
(3.190983,0.000000,-5.695400)
(3.048943,0.000000,-5.974168)
(2.618034,1.175571,-5.654867)
(2.657630,1.204339,-5.963884)
(2.772542,1.287827,-6.242652)
(2.951523,1.417864,-6.463884)
(3.177051,1.581720,-6.605923)
(3.427051,1.763356,-6.654867)
(3.677051,1.944991,-6.605923)
(3.902579,2.108847,-6.463884)
(4.081559,2.238884,-6.242652)
(4.196472,2.322373,-5.963884)
(4.236068,2.351141,-5.654867)
(4.196472,2.322373,-5.345850)
(4.081559,2.238884,-5.067082)
(3.902579,2.108847,-4.845850)
(3.677051,1.944991,-4.703810)
(3.427051,1.763356,-4.654867)
(3.177051,1.581720,-4.703810)
(2.951523,1.417864,-4.845850)
(2.772542,1.287827,-5.067082)
(2.657630,1.204339,-5.345850)
(1.618034,1.902113,-5.026548)
(1.633158,1.948661,-5.335565)
(1.677051,2.083749,-5.614333)
(1.745415,2.294153,-5.835565)
(1.831559,2.559277,-5.977605)
(1.927051,2.853170,-6.026548)
(2.022542,3.147062,-5.977605)
(2.108687,3.412187,-5.835565)
(2.177051,3.622590,-5.614333)
(2.220944,3.757678,-5.335565)
(2.236068,3.804226,-5.026548)
(2.220944,3.757678,-4.717531)
(2.177051,3.622590,-4.438763)
(2.108687,3.412187,-4.217531)
(2.022542,3.147062,-4.075492)
(1.927051,2.853170,-4.026548)
(1.831559,2.559277,-4.075492)
(1.745415,2.294153,-4.217531)
(1.677051,2.083749,-4.438763)
(1.633158,1.948661,-4.717531)
(0.381966,1.902113,-4.398230)
(0.366842,1.948661,-4.707247)
(0.322949,2.083749,-4.986015)
(0.254585,2.294153,-5.207247)
(0.168441,2.559277,-5.349286)
(0.072949,2.853170,-5.398230)
(-0.022542,3.147062,-5.349286)
(-0.108687,3.412187,-5.207247)
(-0.177051,3.622590,-4.986015)
(-0.220944,3.757678,-4.707247)
(-0.236068,3.804226,-4.398230)
(-0.220944,3.757678,-4.089213)
(-0.177051,3.622590,-3.810444)
(-0.108687,3.412187,-3.589213)
(-0.022542,3.147062,-3.447173)
(0.072949,2.853170,-3.398230)
(0.168441,2.559277,-3.447173)
(0.254585,2.294153,-3.589213)
(0.322949,2.083749,-3.810444)
(0.366842,1.948661,-4.089213)
(-0.618034,1.175571,-3.769911)
(-0.657630,1.204339,-4.078928)
(-0.772542,1.287827,-4.357696)
(-0.951523,1.417864,-4.578928)
(-1.177051,1.581720,-4.720968)
(-1.427051,1.763356,-4.769911)
(-1.677051,1.944991,-4.720968)
(-1.902579,2.108847,-4.578928)
(-2.081559,2.238884,-4.357696)
(-2.196472,2.322373,-4.078928)
(-2.236068,2.351141,-3.769911)
(-2.196472,2.322373,-3.460894)
(-2.081559,2.238884,-3.182126)
(-1.902579,2.108847,-2.960894)
(-1.677051,1.944991,-2.818855)
(-1.427051,1.763356,-2.769911)
