points: customPlane
(1.500000,0.000000,0.000000)
(1.550000,0.000000,0.000000)
(1.600000,0.000000,0.000000)
(1.650000,0.000000,0.000000)
(1.700000,0.000000,0.000000)
(1.750000,0.000000,0.000000)
(1.800000,0.000000,0.000000)
(1.850000,0.000000,0.000000)
(1.900000,0.000000,0.000000)
(1.950000,0.000000,0.000000)
(2.000000,0.000000,0.000000)
(2.050000,0.000000,0.000000)
(2.100000,0.000000,0.000000)
(2.150000,0.000000,0.000000)
(2.200000,0.000000,0.000000)
(2.250000,0.000000,0.000000)
(2.300000,0.000000,0.000000)
(2.350000,0.000000,0.000000)
(2.400000,0.000000,0.000000)
(2.450000,0.000000,0.000000)
(1.481383,0.156411,-0.078217)
(1.528350,0.171671,-0.070396)
(1.575318,0.186932,-0.062574)
(1.622285,0.202193,-0.054752)
(1.669252,0.217453,-0.046930)
(1.716220,0.232714,-0.039109)
(1.763187,0.247974,-0.031287)
(1.810154,0.263235,-0.023465)
(1.857122,0.278496,-0.015643)
(1.904089,0.293756,-0.007822)
(1.951057,0.309017,0.000000)
(1.998024,0.324278,0.007822)
(2.044991,0.339538,0.015643)
(2.091959,0.354799,0.023465)
(2.138926,0.370059,0.031287)
(2.185893,0.385320,0.039109)
(2.232861,0.400581,0.046930)
(2.279828,0.415841,0.054752)
(2.326795,0.431102,0.062574)
(2.373763,0.446363,0.070396)
(1.424307,0.308277,-0.154508)
(1.462778,0.336228,-0.139058)
(1.501249,0.364178,-0.123607)
(1.539720,0.392129,-0.108156)
(1.578191,0.420080,-0.092705)
(1.616662,0.448031,-0.077254)
(1.655133,0.475982,-0.061803)
(1.693604,0.503933,-0.046353)
(1.732075,0.531884,-0.030902)
(1.770546,0.559834,-0.015451)
(1.809017,0.587785,0.000000)
(1.847488,0.615736,0.015451)
(1.885959,0.643687,0.030902)
(1.924430,0.671638,0.046353)
(1.962901,0.699589,0.061803)
(2.001372,0.727540,0.077254)
(2.039843,0.755490,0.092705)
(2.078314,0.783441,0.108156)
(2.116785,0.811392,0.123607)
(2.155256,0.839343,0.139058)
(1.325925,0.448597,-0.226995)
(1.352111,0.484639,-0.204296)
(1.378297,0.520681,-0.181596)
(1.404483,0.556723,-0.158897)
(1.430669,0.592765,-0.136197)
(1.456855,0.628807,-0.113498)
(1.483041,0.664849,-0.090798)
(1.509227,0.700891,-0.068099)
(1.535413,0.736933,-0.045399)
(1.561599,0.772975,-0.022700)
(1.587785,0.809017,0.000000)
(1.613971,0.845059,0.022700)
(1.640157,0.881101,0.045399)
(1.666343,0.917143,0.068099)
(1.692529,0.953185,0.090798)
(1.718715,0.989227,0.113498)
(1.744901,1.025269,0.136197)
